Timestamp,Device,IP Address,Status,Latency (ms),CPU (%),RAM (%)
2026-08-13 21:59:09,Home Router,192.168.1.1,NORMAL,12.1,,
2026-08-13 21:59:09,Google DNS,8.8.8.8,NORMAL,61.44,,
2026-08-13 21:59:09,Cloudflare DNS,1.1.1.1,NORMAL,30.34,,
2026-08-13 21:59:09,Local PC,localhost,NORMAL,,14.9,58.7
2026-08-13 21:59:15,Home Router,192.168.1.1,NORMAL,15.76,,
2026-08-13 21:59:15,Google DNS,8.8.8.8,NORMAL,60.45,,
2026-08-13 21:59:15,Cloudflare DNS,1.1.1.1,NORMAL,26.62,,
2026-08-13 21:59:15,Local PC,localhost,NORMAL,,3.1,58.5
2026-08-13 21:59:21,Home Router,192.168.1.1,NORMAL,13.03,,
2026-08-13 21:59:21,Google DNS,8.8.8.8,NORMAL,59.22,,
2026-08-13 21:59:21,Cloudflare DNS,1.1.1.1,NORMAL,19.61,,
2026-08-13 21:59:21,Local PC,localhost,NORMAL,,6.2,59.1
2026-08-13 21:59:27,Home Router,192.168.1.1,NORMAL,13.37,,
2026-08-13 21:59:27,Google DNS,8.8.8.8,NORMAL,59.8,,
2026-08-13 21:59:27,Cloudflare DNS,1.1.1.1,NORMAL,20.11,,
2026-08-13 21:59:27,Local PC,localhost,NORMAL,,7.5,58.6
2026-08-13 21:59:33,Home Router,192.168.1.1,NORMAL,12.72,,
2026-08-13 21:59:33,Google DNS,8.8.8.8,NORMAL,68.96,,
2026-08-13 21:59:33,Cloudflare DNS,1.1.1.1,NORMAL,22.42,,
2026-08-13 21:59:33,Local PC,localhost,NORMAL,,15.4,58.8
2026-08-13 21:59:39,Home Router,192.168.1.1,NORMAL,17.81,,
2026-08-13 21:59:40,Google DNS,8.8.8.8,NORMAL,60.57,,
2026-08-13 21:59:40,Cloudflare DNS,1.1.1.1,NORMAL,25.57,,
2026-08-13 21:59:40,Local PC,localhost,NORMAL,,5.4,59.1
2026-08-13 21:59:46,Home Router,192.168.1.1,NORMAL,19.02,,
2026-08-13 21:59:46,Google DNS,8.8.8.8,NORMAL,60.61,,
2026-08-13 21:59:46,Cloudflare DNS,1.1.1.1,NORMAL,21.34,,
2026-08-13 21:59:46,Local PC,localhost,NORMAL,,3.9,58.7
2026-08-13 21:59:52,Home Router,192.168.1.1,NORMAL,11.04,,
2026-08-13 21:59:52,Google DNS,8.8.8.8,NORMAL,60.5,,
2026-08-13 21:59:52,Cloudflare DNS,1.1.1.1,NORMAL,19.06,,
2026-08-13 21:59:52,Local PC,localhost,NORMAL,,11.6,59.3
2026-08-13 21:59:58,Home Router,192.168.1.1,NORMAL,15.62,,
2026-08-13 21:59:58,Google DNS,8.8.8.8,NORMAL,59.06,,
2026-08-13 21:59:58,Cloudflare DNS,1.1.1.1,NORMAL,19.68,,
2026-08-13 21:59:58,Local PC,localhost,NORMAL,,3.9,58.9
2026-08-13 22:00:04,Home Router,192.168.1.1,NORMAL,12.58,,
2026-08-13 22:00:04,Google DNS,8.8.8.8,NORMAL,62.27,,
2026-08-13 22:00:04,Cloudflare DNS,1.1.1.1,NORMAL,22.88,,
2026-08-13 22:00:04,Local PC,localhost,NORMAL,,5.1,58.9
2026-08-13 22:00:10,Home Router,192.168.1.1,NORMAL,19.15,,
2026-08-13 22:00:10,Google DNS,8.8.8.8,NORMAL,58.43,,
2026-08-13 22:00:10,Cloudflare DNS,1.1.1.1,NORMAL,19.09,,
2026-08-13 22:00:10,Local PC,localhost,NORMAL,,10.3,58.6
2026-08-13 22:00:16,Home Router,192.168.1.1,NORMAL,15.36,,
2026-08-13 22:00:16,Google DNS,8.8.8.8,NORMAL,59.15,,
2026-08-13 22:00:16,Cloudflare DNS,1.1.1.1,NORMAL,19.87,,
2026-08-13 22:00:16,Local PC,localhost,NORMAL,,6.2,59.0
2026-08-13 22:00:22,Home Router,192.168.1.1,NORMAL,16.22,,
2026-08-13 22:00:22,Google DNS,8.8.8.8,NORMAL,63.91,,
2026-08-13 22:00:22,Cloudflare DNS,1.1.1.1,NORMAL,25.2,,
2026-08-13 22:00:22,Local PC,localhost,NORMAL,,12.7,59.0
2026-08-13 22:00:28,Home Router,192.168.1.1,NORMAL,11.51,,
2026-08-13 22:00:28,Google DNS,8.8.8.8,NORMAL,59.81,,
2026-08-13 22:00:28,Cloudflare DNS,1.1.1.1,NORMAL,21.14,,
2026-08-13 22:00:28,Local PC,localhost,NORMAL,,7.7,58.7
2026-08-13 22:00:34,Home Router,192.168.1.1,NORMAL,15.21,,
2026-08-13 22:00:34,Google DNS,8.8.8.8,NORMAL,59.78,,
2026-08-13 22:00:34,Cloudflare DNS,1.1.1.1,NORMAL,20.65,,
2026-08-13 22:00:34,Local PC,localhost,NORMAL,,5.7,58.6
2026-08-13 22:00:40,Home Router,192.168.1.1,NORMAL,12.11,,
2026-08-13 22:00:41,Google DNS,8.8.8.8,NORMAL,58.72,,
2026-08-13 22:00:41,Cloudflare DNS,1.1.1.1,NORMAL,21.41,,
2026-08-13 22:00:41,Local PC,localhost,NORMAL,,29.9,59.0
2026-08-13 22:00:47,Home Router,192.168.1.1,NORMAL,10.15,,
2026-08-13 22:00:47,Google DNS,8.8.8.8,NORMAL,59.79,,
2026-08-13 22:00:47,Cloudflare DNS,1.1.1.1,NORMAL,19.18,,
2026-08-13 22:00:47,Local PC,localhost,NORMAL,,8.3,58.5
2026-08-13 22:00:53,Home Router,192.168.1.1,NORMAL,10.57,,
2026-08-13 22:00:53,Google DNS,8.8.8.8,NORMAL,64.84,,
2026-08-13 22:00:53,Cloudflare DNS,1.1.1.1,NORMAL,23.52,,
2026-08-13 22:00:53,Local PC,localhost,NORMAL,,7.4,58.6
2026-08-13 22:00:59,Home Router,192.168.1.1,NORMAL,12.3,,
2026-08-13 22:00:59,Google DNS,8.8.8.8,NORMAL,59.83,,
2026-08-13 22:00:59,Cloudflare DNS,1.1.1.1,NORMAL,20.4,,
2026-08-13 22:00:59,Local PC,localhost,NORMAL,,11.4,59.0
2026-08-13 22:01:05,Home Router,192.168.1.1,NORMAL,11.51,,
2026-08-13 22:01:05,Google DNS,8.8.8.8,NORMAL,63.15,,
2026-08-13 22:01:05,Cloudflare DNS,1.1.1.1,NORMAL,24.48,,
2026-08-13 22:01:05,Local PC,localhost,NORMAL,,16.7,59.6
2026-08-13 22:01:11,Home Router,192.168.1.1,NORMAL,19.28,,
2026-08-13 22:01:11,Google DNS,8.8.8.8,NORMAL,61.86,,
2026-08-13 22:01:11,Cloudflare DNS,1.1.1.1,NORMAL,21.61,,
2026-08-13 22:01:11,Local PC,localhost,NORMAL,,20.1,59.9
2026-08-13 22:01:17,Home Router,192.168.1.1,NORMAL,12.06,,
2026-08-13 22:01:17,Google DNS,8.8.8.8,NORMAL,59.88,,
2026-08-13 22:01:17,Cloudflare DNS,1.1.1.1,NORMAL,22.81,,
2026-08-13 22:01:17,Local PC,localhost,NORMAL,,21.3,60.9
2026-08-13 22:01:23,Home Router,192.168.1.1,NORMAL,13.72,,
2026-08-13 22:01:23,Google DNS,8.8.8.8,NORMAL,60.95,,
2026-08-13 22:01:23,Cloudflare DNS,1.1.1.1,NORMAL,21.01,,
2026-08-13 22:01:23,Local PC,localhost,NORMAL,,12.6,61.4
2026-08-13 22:01:29,Home Router,192.168.1.1,NORMAL,11.69,,
2026-08-13 22:01:29,Google DNS,8.8.8.8,NORMAL,59.25,,
2026-08-13 22:01:29,Cloudflare DNS,1.1.1.1,NORMAL,24.15,,
2026-08-13 22:01:29,Local PC,localhost,NORMAL,,9.9,60.5
2026-08-13 22:01:35,Home Router,192.168.1.1,NORMAL,13.59,,
2026-08-13 22:01:35,Google DNS,8.8.8.8,NORMAL,60.7,,
2026-08-13 22:01:35,Cloudflare DNS,1.1.1.1,NORMAL,18.6,,
2026-08-13 22:01:35,Local PC,localhost,NORMAL,,14.5,60.0
2026-08-13 22:01:41,Home Router,192.168.1.1,NORMAL,13.6,,
2026-08-13 22:01:42,Google DNS,8.8.8.8,NORMAL,62.62,,
2026-08-13 22:01:42,Cloudflare DNS,1.1.1.1,NORMAL,32.75,,
2026-08-13 22:01:42,Local PC,localhost,NORMAL,,4.8,60.4
2026-08-13 22:01:48,Home Router,192.168.1.1,NORMAL,13.47,,
2026-08-13 22:01:48,Google DNS,8.8.8.8,NORMAL,64.13,,
2026-08-13 22:01:48,Cloudflare DNS,1.1.1.1,NORMAL,23.36,,
